"TIMESTAMP","RECORD","Result_30cm_Avg","Result_50cm_Avg","Result_100cm_Avg","Result_150cm_Avg","Result_200cm_Avg","Result_300cm_Avg","Result_500cm_Avg","Result_700cm_Avg","Result_900cm_Avg","Result_30Ncm_Avg","Result_50Ncm_Avg","Result_60Ncm_Avg","Result_80Ncm_Avg","Result_100Ncm_Avg","BattV"
"2023-08-28 11:30:00",0,32.01,0,0.004,13.97,34.87,29.44,23.36,26.28,32.07,3.891,0.598,0.835,0.558,0.508,13.13
"2023-08-28 11:40:00",1,32.06,0,0.004,13.95,34.85,29.43,23.36,26.28,32.07,5.573,0.634,0.888,0.604,0.557,13.27
"2023-08-28 11:50:00",2,32.1,0,0.004,13.94,34.83,29.43,23.36,26.28,32.07,7.193,0.663,0.92,0.611,0.573,13.23
"2023-08-28 12:00:00",3,32.07,0,0.004,13.95,34.8,29.42,23.36,26.28,32.07,7.212,0.662,0.916,0.601,0.566,13.21
"2023-08-28 12:10:00",4,32.05,0,0.004,13.92,34.85,29.41,23.36,26.28,32.07,7.242,0.665,0.915,0.598,0.563,13.2
"2023-08-28 12:20:00",5,31.96,0,0.004,13.94,34.81,29.41,23.36,26.27,32.06,7.273,0.667,0.915,0.594,0.562,13.18
"2023-08-28 12:30:00",6,31.96,0,0.004,13.94,34.83,29.4,23.36,26.27,32.07,7.299,0.67,0.915,0.593,0.561,13.2
"2023-08-28 12:40:00",7,31.95,0,0.004,13.91,34.83,29.4,23.36,26.26,32.05,7.32,0.677,0.917,0.592,0.561,13.2
"2023-08-28 12:50:00",8,31.93,0,0.004,13.94,34.84,29.39,23.36,26.27,32.05,7.333,0.685,0.918,0.591,0.561,13.14
"2023-08-28 13:00:00",9,31.91,0,0.004,13.88,34.79,29.38,23.34,26.23,32.01,7.351,0.695,0.92,0.59,0.561,13.16
"2023-08-28 13:10:00",10,31.85,0,0.004,13.92,34.8,29.37,23.35,26.24,32,7.362,0.708,0.921,0.59,0.56,13.2
"2023-08-28 13:20:00",11,31.83,0,0.004,13.92,34.83,29.37,23.36,26.23,32.03,7.369,0.721,0.923,0.59,0.56,13.18
