% Model,農試?�_?�水模擬.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 5.6.0.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Aug 30 2024, 09:03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Nodes,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Expressions,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Description,Liquid volume fraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Length unit,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% X,Y,t=0h,t=3h,t=6h,t=9h,t=12h,t=15h,t=18h,t=21h,t=24h,t=27h,t=30h,t=33h,t=36h,t=39h,t=42h,t=45h,t=48h,t=51h,t=54h,t=57h,t=60h,t=63h,t=66h,t=69h,t=72h,t=75h,t=78h,t=81h,t=84h,t=87h,t=90h,t=93h,t=96h,t=99h,t=102h,t=105h,t=108h,t=111h,t=114h,t=117h,t=120h,t=123h,t=126h,t=129h,t=132h,t=135h,t=138h,t=141h,t=144h
0,-10,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
10,-10,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0,-9.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
10,-9.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0,-9,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
10,-9,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
20,-10,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
20,-9.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0,-8.5,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497
10,-8.5,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497
20,-9,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
30,-10,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
30,-9.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0,-8,0.247687098,0.247687098,0.247687098,0.247687098,0.247687098,0.247687098,0.247687098,0.247687098,0.247687098,0.247687098,0.247687098,0.247687098,0.247687098,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.2476871,0.2476871,0.2476871,0.2476871,0.2476871,0.2476871,0.2476871,0.2476871,0.2476871,0.2476871,0.2476871,0.2476871
10,-8,0.247687098,0.247687098,0.247687098,0.247687098,0.247687098,0.247687098,0.247687098,0.247687098,0.247687098,0.247687098,0.247687098,0.247687098,0.247687098,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.247687099,0.2476871,0.2476871,0.2476871,0.2476871,0.2476871,0.2476871,0.2476871,0.2476871,0.2476871,0.2476871,0.2476871,0.2476871
20,-8.5,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497,0.303464497
